dna_library_id	ploidy	depth1	depth2	depth3	depth4	numOverlaps	meanOverlapSize	meanFragSize	numReads	sampleSize	nr_bins
VZA02704D_A02	2	0.0049894157866377025	5.8913077605189805e-6	0	0	193.55	71.74302356422712	143.17932424688934	97728	82306.9256820859	235693
VZA02704D_A02	3	0.004992127188982123	5.736957314848595e-6	0	0	17.6	71.25508917553036	143.557799091368	13867	7637.3419412914745	21928
VZA02704D_A04	1	0.0050018113083497694	1.7619986850756083e-6	0	0	0.4	26.8	140.56972586412397	839	541.0126507147824	1521
VZA02704D_A04	2	0.004988433486739373	6.685090498576496e-6	0	0	218.55	74.29462517434108	141.1090644422879	269978	86001.20798733884	242711
VZA02704D_A04	3	0.004976472166331321	9.206572769953052e-6	0	0	19.25	72.29659486865268	140.5465855255556	25963	5304.291080514693	14910
VZA02704D_A05	3	0.004976748490945674	1.0424547283702214e-5	0	0	17.35	89.25702996908493	150.51817210048102	7484	4952.890336074029	14910
VZA02704D_A06	2	0.0049869786063239455	6.366258653556737e-6	0	0	219.25	75.16699950063912	143.80361080195712	190484	90102.74448424114	259142
VZA02704D_A07	2	0.004986452446920993	6.256820584853092e-6	0	0	225.2	72.01071810400069	138.45050803015405	170856	93586.51105258484	259142
VZA02704D_A08	1	0.004963643332541003	1.361659139529356e-5	0	0	17.45	64.53562440719755	104.95434314429289	6965	4008.409632192305	8414
VZA02704D_A08	2	0.004978586171584307	1.0004100300280698e-5	5.528265552581762e-9	0	449.25	54.603819179902	106.23796212692798	323396	115356.12839935765	245104
VZA02704D_A08	3	0.00499024359886202	9.703058321479373e-6	0	0	10.35	53.42525492481375	105.21291327678726	11554	2672.67573192501	5624
VZA02704D_A09	2	0.004985080012854795	7.548483587476464e-6	0	0	217.25	84.27971479193185	157.59064910729802	132351	77006.78986186118	242711
VZA02704D_A09	3	0.004977318578135479	9.397048960429242e-6	0	0	14.6	95.62031370998282	156.1062691732872	12713	4775.592959514335	14910
VZA02704D_A10	1	0.005000578566732413	0	0	0	0	0	152.38732394366198	568	499.0572577291002	1521
VZA02704D_A10	2	0.004985939141612865	6.875110728397147e-6	0	0	212.7	78.3905894353402	146.08913466653416	171067	83069.49060722988	242711
VZA02704D_A10	3	0.004981727028839705	8.955734406438632e-6	0	0	18.45	72.95770469160509	145.19181981313037	16161	5134.586789803298	14910
VZA02704D_A11	2	0.0049843194112680475	6.0471248615784095e-6	0	0	177.15	80.50635050041176	165.73818649805557	107229	71104.0119902498	235693
VZA02704D_A11	3	0.00497572168004378	9.617156147391462e-6	0	0	22.85	92.44891915635598	166.51269341550002	14929	6584.4830055336815	21928
VZA02704D_A12	2	0.004986976630643028	6.680743765218717e-6	0	0	206.3	78.53409489452774	152.68010248985038	140892	79483.50703266477	242711
VZA02704D_A12	3	0.004975024480214621	7.380281690140845e-6	0	0	14.55	75.20938461048755	153.15920177383592	13530	4867.48423448204	14910
VZA02704D_A13	1	0.00498	0	0	0	0	0	149.63563402889247	623	508.23455584995116	1521
VZA02704D_A13	2	0.004986983882065502	6.667415156296995e-6	3.666912500875527e-9	0	210.8	76.76547928753627	149.87365095561398	203848	80971.8714572051	242711
VZA02704D_A13	3	0.004971215627095909	9.837022132796781e-6	1.8443997317236754e-8	0	17	87.43158296618242	149.46193735739473	19284	4987.891988964077	14910
VZA02704D_A14	1	0.004983527284681131	0	0	0	0	0	153.34441087613294	662	495.9424315857911	1521
VZA02704D_A14	2	0.004985244838511645	7.000053561643271e-6	0	0	210.6	80.73002990458423	150.96487556281232	202110	80386.57969118607	242711
VZA02704D_A14	3	0.00498525754527163	8.615358819584171e-6	0	0	16.55	77.95853640004646	150.88942582488957	19245	4940.704068058214	14910
VZA02704D_A15	1	0.005041817882971729	0	0	0	0	0	159.6831432192649	789	476.255655210731	1521
VZA02704D_A15	2	0.004986780759833711	6.602543766042743e-6	0	0	197.75	81.03310175230928	156.5757409266623	252994	77505.940116765	242711
VZA02704D_A15	3	0.004972899061032864	9.254191817572098e-6	1.9114688128772635e-8	0	16.5	83.49098207756296	156.76909903512802	23941	4755.401444470585	14910
VZA02704D_A16	1	0.004991709401709401	0	0	0	0	0	158.90380047505937	842	478.59144823874976	1521
VZA02704D_A16	2	0.004984700013596417	6.786754617631669e-6	0	0	207.35	79.48294837194402	151.73715090887742	264007	79977.44736414454	242711
VZA02704D_A16	3	0.004984349094567404	8.390006706908115e-6	0	0	16.4	75.93684693085066	149.40380990575497	24935	4989.8325917543	14910
VZA02704D_A17	2	0.004984790274008545	6.996753564617379e-6	0	0	228.45	78.25162209822663	146.56276214902087	299448	87115.23863761527	255357
VZA02704D_A17	3	0.004965630774697939	7.141080312722104e-6	0	0	2.95	71.12583333333333	149.4508990318119	5061	941.4463272653235	2814
VZA02704D_A18	1	0.004984454306377383	2.30111768573307e-6	0	0	0.5	35	152.4741980474198	717	498.7729135413999	1521
VZA02704D_A18	2	0.004986306862894554	6.969853035091117e-6	1.0094309693421394e-9	0	205.45	82.36100935205565	155.30902251103143	232064	78138.08756112689	242711
VZA02704D_A18	3	0.004979097920858484	9.072769953051644e-6	0	0	17.3	78.98582624848491	154.57182409671913	21671	4823.000597660824	14910
VZA02704D_A19	2	0.004986710594081027	6.726477168319524e-6	0	0	229.75	71.05752291887991	129.51369612675708	101233	93700.90085393553	242711
VZA02704D_A19	3	0.0049917783366867875	8.265258215962441e-6	0	0	17.55	70.49578092530105	128.21028134050476	9668	5814.6662826523125	14910
VZA02704D_A20	1	0.005001673241288626	0	0	0	0	0	141.11292517006802	735	538.9300796390212	1521
VZA02704D_A20	2	0.004986569520952903	7.006769367684201e-6	0	0	233	73.00173313721298	136.22755127593328	211649	89082.93429879726	242711
VZA02704D_A20	3	0.004977629778672032	9.067739771965125e-6	0	0	18.35	73.59645760792355	134.71740997020052	19799	5533.805913911977	14910
VZA02704D_A21	1	0.005024441157133464	0	0	0	0	0	133.17977528089887	801	571.032649962035	1521
VZA02704D_A21	2	0.004981577200001697	6.436360010691875e-6	3.3942459046301756e-9	0	205.75	73.72957409842621	138.61983859788097	242376	85014.16622036196	235693
VZA02704D_A21	3	0.0049744203757752644	9.514547610361181e-6	2.2801897117840204e-10	0	27.85	74.8734236658245	138.88566492943727	34154	7894.263245649152	21928
VZA02704D_A22	1	0.0049863675213675214	8.481262327416173e-7	0	0	0.3	12.9	153.390243902439	1107	495.79424391795203	1521
VZA02704D_A22	2	0.004988855222878238	6.827646872206039e-6	0	0	207.25	79.9429132744867	149.84625527026495	329917	80986.67516323407	242711
VZA02704D_A22	3	0.004981752850435949	9.218980549966466e-6	0	0	17.1	81.3659554729756	149.21891778928077	31103	4996.01532463033	14910
VZA02704D_A23	2	0.004987068468260606	6.442682861510191e-6	0	0	244.55	63.91958551403152	124.7766788000502	199175	97258.15846923405	242711
VZA02704D_A23	3	0.004984791750503018	9.363849765258215e-6	5.432595573440643e-8	0	23.45	60.99676398437769	122.69640794323121	18179	6075.972495828286	14910
VZA02704D_A24	2	0.004987736549845258	6.347543045897616e-6	0	0	247.05	66.58525149983025	126.89743784330732	276720	102106.86850903483	259142
VZA02704D_B01	3	0.004983715291750503	8.384976525821597e-6	0	0	16.65	75.08095035382574	130.43617622140638	7082	5715.438934169347	14910
